DATES,BLOCK,LATITUDE,LONGITUDE,TEMPERATURE( C)- Maximum,TEMPERATURE( C)- Minimum,Temperature-Advisory Data,Temperature(Max)- Real,Temperature(Min)- Real,Temperature-Realtime Data,HUMIDITY(%)- Maximum,HUMIDITY(%)- Minimum,Humidity-Advisory Data,Humidity- Realtime Data,PRECIPITATION(mm),WIND DIRECTION,WIND SPEED(km/h),STRENGTH,COORDINATE
27-02-2024,Gosaba,22.16557075,88.80817531,30,20,25,25.5,21.75,23.625,40,22,31,54.25,0,NE,12,10 to 15,
28-02-2024,Gosaba,22.16557075,88.80817531,24,18,21,27,22.75,24.875,55,40,47.5,64.75,0,NE,9,7 to 10,
29-02-2024,Gosaba,22.16557075,88.80817531,31,22,26.5,27.25,22.5,24.875,73,41,57,59.25,0,NW,11,10 to 15,
01-03-2024,Gosaba,22.16557075,88.80817531,31,21,26,27.5,22,24.75,72,42,57,60.75,0,NW,11,10 to 15,
26-02-2024,Kultali,21.8820151,88.5265151,28,19,23.5,25,20,22.5,43,34,38.5,64.75,0,NE,13,10 to 15,
27-02-2024,Kultali,21.8820151,88.5265151,29,19,24,25.5,21.75,23.625,43,27,35,54.25,0,NE,10,10 to 15,
28-02-2024,Kultali,21.8820151,88.5265151,30,20,25,26.25,22.75,24.5,56,25,40.5,64.75,0,W,8,10 to 15,
29-02-2024,Kultali,21.8820151,88.5265151,31,21,26,27.25,22.75,25,66,40,53,59.25,0,NW,10,10 to 15,
01-03-2024,Kultali,21.8820151,88.5265151,32,21,26.5,27.5,22,24.75,63,37,50,60.75,0,NW,11,10 to 15,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,o,,,,,,,,
